"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
7,0.0,0.0,676275.0,676223.0,676171.0,676131.0,676124.0,676480.0,676481.0,676536.0,676563.0,676564.0,0.0100329,0.0100329,0.0100329,0.79960013,0.60000013,0.3,0.3,0.004,0.3238,0.3,"20180628 09:20:18.382747","20000101 00:00:00.000000",1
267,676733.0,0.01,676275.0,676223.0,676171.0,676131.0,676124.0,676480.0,676481.0,676536.0,676563.0,676564.0,0.0100329,0.0100329,0.0100329,0.79960013,0.60000013,0.3,0.3,0.004,0.3238,0.3,"20180628 09:20:18.489661","20180628 09:17:58.710000",1
260,676733.0,0.01,676275.0,676223.0,676171.0,676132.0,676123.0,676480.0,676481.0,676536.0,676564.0,676578.0,0.0100329,0.0100329,0.0100329,0.2924,0.98,0.3,0.3,0.004,0.3,0.3,"20180628 09:20:19.034367","20180628 09:17:58.710000",1
1,0.0,0.0,676275.0,676223.0,676171.0,676132.0,676123.0,676480.0,676481.0,676536.0,676564.0,676578.0,0.0100329,0.0100329,0.0100329,0.2924,0.98,0.3,0.3,0.004,0.3,0.3,"20180628 09:20:19.268026","20000101 00:00:00.000000",1
34,676456.0,0.05462408,676275.0,676223.0,676171.0,676131.0,676124.0,676480.0,676481.0,676536.0,676563.0,676564.0,0.0100329,0.0100329,0.0100329,0.79960013,0.60000013,0.3,0.3,0.004,0.3238,0.3,"20180628 09:20:19.699761","20180628 09:19:59.600000",1
8,0.0,0.0,676275.0,676223.0,676171.0,676133.0,676124.0,676479.0,676480.0,676481.0,676536.0,676564.0,0.0100329,1.7100329,0.0100329,0.50000013,0.89240013,0.423087,0.3,0.3,0.004,0.3,"20180628 09:20:20.999624","20000101 00:00:00.000000",1
268,676733.0,0.01,676275.0,676223.0,676171.0,676133.0,676124.0,676479.0,676480.0,676481.0,676536.0,676564.0,0.0100329,1.7100329,0.0100329,0.50000013,0.60000013,0.423087,0.3,0.3,0.004,0.3,"20180628 09:20:21.098597","20180628 09:17:58.710000",1
2,0.0,0.0,676275.0,676224.0,676223.0,676171.0,676133.0,676479.0,676536.0,676563.0,676564.0,676578.0,0.0100329,0.2924,1.7100329,0.0100329,0.50000013,0.423087,0.004,0.3166,0.3,0.3,"20180628 09:20:21.902463","20000101 00:00:00.000000",1
9,676479.0,0.01,676275.0,676223.0,676171.0,676133.0,676124.0,676479.0,676480.0,676481.0,676536.0,676564.0,0.0100329,1.7100329,0.0100329,0.50000013,0.89240013,0.423087,0.3,0.3,0.004,0.3,"20180628 09:20:20.999624","20180628 09:20:20.710000",2
35,676456.0,0.05462408,676275.0,676224.0,676223.0,676171.0,676133.0,676479.0,676536.0,676563.0,676564.0,676578.0,0.0100329,0.2924,1.7100329,0.0100329,0.50000013,0.423087,0.004,0.3166,0.3,0.3,"20180628 09:20:22.332660","20180628 09:19:59.600000",1
