"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
359,6107.21,0.01381137,6106.64,6104.23,6103.36,6103.35,6102.51,6107.65,6109.34,6112.99,6113.21,6113.99,3.39690696,1.5,0.006345,0.01,1.6345,5.0,0.09002609,1.50613342,0.676174,0.00474264,"20180628 09:20:17.935503","20180628 09:20:15.000000",1
49,6107.21,0.01381137,6106.64,6104.23,6103.36,6103.35,6102.51,6107.65,6109.34,6112.99,6113.21,6113.99,3.39690696,1.5,0.006345,0.01,1.6345,5.0,0.09002609,1.50613342,0.676174,0.00474264,"20180628 09:20:17.939730","20180628 09:20:15.000000",1
373,6107.21,0.01381137,6106.64,6104.23,6103.36,6103.35,6102.51,6107.65,6109.34,6112.99,6113.21,6113.99,3.39690696,1.5,0.006345,0.01,1.6345,5.0,0.09002609,1.50613342,0.676174,0.00474264,"20180628 09:20:17.940232","20180628 09:20:15.000000",1
19,6107.21,0.01381137,6106.64,6104.23,6103.36,6103.35,6102.51,6107.65,6109.34,6112.99,6113.21,6113.99,3.39690696,1.5,0.006345,0.01,1.6345,5.0,0.09002609,1.50613342,0.676174,0.00474264,"20180628 09:20:17.942786","20180628 09:20:15.000000",1
712,6107.21,0.01381137,6106.64,6104.23,6103.36,6103.35,6102.51,6107.65,6109.34,6112.99,6113.21,6113.99,3.39690696,1.5,0.006345,0.01,1.6345,5.0,0.09002609,1.50613342,0.676174,0.00474264,"20180628 09:20:17.943676","20180628 09:20:15.000000",1
1,0.0,0.0,6106.64,6104.23,6103.36,6103.35,6102.51,6107.65,6109.34,6112.99,6113.21,6113.99,3.39690696,1.5,0.006345,0.01,1.6345,5.0,0.09002609,1.50613342,0.676174,0.00474264,"20180628 09:20:18.983956","20000101 00:00:00.000000",1
360,6107.21,0.01381137,6106.64,6104.23,6103.36,6103.35,6102.51,6107.65,6109.34,6112.99,6113.21,6113.99,3.39690696,1.5,0.006345,0.01,1.6345,5.0,0.09002609,1.50613342,0.676174,0.00645982,"20180628 09:20:20.011371","20180628 09:20:15.000000",1
374,6107.21,0.01381137,6106.64,6104.23,6103.36,6103.35,6102.51,6107.65,6109.34,6112.99,6113.21,6113.99,3.39690696,1.5,0.006345,0.01,1.6345,5.0,0.09002609,1.50613342,0.676174,0.00645982,"20180628 09:20:20.016745","20180628 09:20:15.000000",1
50,6107.21,0.01381137,6106.64,6104.23,6103.36,6103.35,6102.51,6107.65,6109.34,6112.99,6113.21,6113.99,3.39690696,1.5,0.006345,0.01,1.6345,5.0,0.09002609,1.50613342,0.676174,0.00645982,"20180628 09:20:20.018057","20180628 09:20:15.000000",1
713,6107.21,0.01381137,6106.64,6104.23,6103.36,6103.35,6102.51,6107.65,6109.34,6112.99,6113.21,6113.99,3.39690696,1.5,0.006345,0.01,1.6345,5.0,0.09002609,1.50613342,0.676174,0.00645982,"20180628 09:20:20.019288","20180628 09:20:15.000000",1
