"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
1,0.0,0.0,0.07080201,0.07080101,0.0708,0.07072001,0.07072,0.07103,0.0713,0.07131,0.07131399,0.071314,2.2555,4.4973,35.4188163,1.60983472,0.0898,0.36099679,0.1081,27.7147,102.93,9.0,"20180628 09:20:18.276049","20000101 00:00:00.000000",1
41,0.0708,0.10429016,0.07080201,0.07080101,0.0708,0.07072001,0.07072,0.07103,0.07129998,0.07129999,0.0713,0.07131,2.2555,4.4973,35.4188163,1.60983472,0.0898,0.36099679,99.219,2.09529134,0.1081,27.7147,"20180628 09:20:19.225555","20180628 09:20:03.260000",1
276,0.07100771,0.036,0.07080201,0.07080101,0.0708,0.07073,0.07071316,0.07103,0.07129899,0.071299,0.07129997,0.0713,2.2555,4.4973,35.4188163,0.0898,27.11355142,0.36099679,99.765,9.0,2.09529134,0.1081,"20180628 09:20:19.531936","20180628 09:18:30.110000",1
2,0.0,0.0,0.07080201,0.07080101,0.0708,0.07073,0.07071316,0.07103,0.07129899,0.071299,0.07129997,0.0713,2.2555,4.4973,35.4188163,0.0898,27.11355142,0.36099679,99.765,9.0,2.09529134,0.1081,"20180628 09:20:19.868707","20000101 00:00:00.000000",1
18,0.0708,0.10429016,0.07080201,0.07080101,0.0708,0.07073,0.07071316,0.07103,0.07129899,0.071299,0.07129998,0.07129999,2.2555,4.4973,35.4188163,0.0898,27.11355142,0.36099679,99.765,9.0,99.219,2.09529134,"20180628 09:20:19.922015","20180628 09:20:03.260000",1
257,0.07100771,0.036,0.07080201,0.07080101,0.0708,0.07073,0.07071316,0.07103,0.07129899,0.071299,0.07129997,0.0713,2.2555,4.4973,35.4188163,0.0898,27.11355142,0.36099679,99.765,9.0,2.09529134,0.1081,"20180628 09:20:20.133990","20180628 09:18:30.110000",1
42,0.0708,0.10429016,0.07080201,0.07080101,0.0708,0.07073,0.07071316,0.07103,0.07129899,0.071299,0.07129997,0.0713,2.2555,4.4973,35.4188163,0.0898,27.11355142,0.36099679,99.765,9.0,2.09529134,0.1081,"20180628 09:20:20.842594","20180628 09:20:03.260000",1
277,0.07100771,0.036,0.07080201,0.0708,0.07073,0.07071316,0.07070654,0.07103,0.07128,0.07129899,0.071299,0.07129997,2.2555,35.4188163,0.0898,27.11355142,1.61014135,0.36099679,0.1081,99.765,9.0,2.09529134,"20180628 09:20:21.245484","20180628 09:18:30.110000",1
258,0.07100771,0.036,0.07080301,0.07080201,0.0708,0.07073,0.07071316,0.07103,0.07128,0.07129899,0.071299,0.07129997,4.4971,2.2555,35.4188163,0.0898,27.11355142,0.36099679,0.1081,99.765,9.0,2.09529134,"20180628 09:20:21.824433","20180628 09:18:30.110000",1
19,0.0708,0.10429016,0.07080201,0.0708,0.07073,0.07071316,0.07070654,0.07103,0.07128,0.07129899,0.071299,0.07129997,2.2555,35.4188163,0.0898,27.11355142,1.61014135,0.36099679,0.1081,99.765,9.0,2.09529134,"20180628 09:20:21.873773","20180628 09:20:03.260000",1
3,0.0,0.0,0.07080201,0.0708,0.07073,0.07071316,0.07070654,0.07103,0.07128,0.07129899,0.071299,0.07129997,2.2555,35.4188163,0.0898,27.11355142,1.61014135,0.36099679,0.1081,99.765,9.0,2.09529134,"20180628 09:20:21.907147","20000101 00:00:00.000000",1
43,0.0708,0.10429016,0.07080201,0.0708,0.07073,0.07071316,0.07070654,0.07103,0.07128,0.07129899,0.071299,0.07129997,2.2555,35.4188163,0.0898,27.11355142,1.61014135,0.36099679,0.1081,99.765,9.0,2.09529134,"20180628 09:20:22.477607","20180628 09:20:03.260000",1
259,0.07100771,0.036,0.07080301,0.07080201,0.0708,0.07073,0.07071316,0.07103,0.07128,0.07129897,0.07129898,0.071299,4.4971,2.2555,35.4188163,0.0898,27.11355142,0.36099679,0.1081,100.965,2.09529133,9.0,"20180628 09:20:23.555329","20180628 09:18:30.110000",1
44,0.0708,0.10429016,0.07080301,0.07080201,0.0708,0.07073,0.07071316,0.07103,0.07128,0.07129,0.07129897,0.07129898,4.4971,2.2555,35.4188163,0.0898,27.11355142,0.36099679,0.1081,27.6766,100.965,2.09529133,"20180628 09:20:24.068247","20180628 09:20:03.260000",1
278,0.07100771,0.036,0.07080301,0.07080201,0.0708,0.07073,0.07071316,0.07103,0.07128,0.07129,0.07129897,0.07129898,4.4971,2.2555,35.4188163,0.0898,27.11355142,0.36099679,0.1081,27.6766,100.965,2.09529133,"20180628 09:20:24.438163","20180628 09:18:30.110000",1
20,0.0708,0.10429016,0.07080301,0.07080201,0.0708,0.07073,0.07071316,0.07103,0.07128,0.07129,0.07129897,0.07129898,4.4971,2.2555,35.4188163,0.0898,27.11355142,0.36099679,0.1081,27.6766,100.965,2.09529133,"20180628 09:20:25.075723","20180628 09:20:03.260000",1
260,0.07100771,0.036,0.07080301,0.07080201,0.0708,0.07073,0.07071316,0.07103,0.07128,0.07129,0.07129897,0.07129898,4.4971,2.2555,35.4188163,0.0898,27.11355142,0.36099679,0.1081,27.6766,100.965,2.09529133,"20180628 09:20:25.144855","20180628 09:18:30.110000",1
4,0.0,0.0,0.07080302,0.07080301,0.0708,0.07073,0.07070654,0.07103,0.07127999,0.07128,0.07128999,0.07129,2.64134668,4.4971,35.4188163,0.0898,1.61014135,0.36099679,2.09529128,0.1081,107.514,27.6766,"20180628 09:20:25.385672","20000101 00:00:00.000000",1
45,0.0708,0.10429016,0.07080302,0.07080301,0.0708,0.07073,0.07070654,0.07103,0.07127999,0.07128,0.07128999,0.07129,2.64134668,4.4971,35.4188163,0.0898,1.61014135,0.36099679,2.09529128,0.1081,107.514,27.6766,"20180628 09:20:25.670087","20180628 09:20:03.260000",1
