"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
272,676759.0,0.03380782,676443.0,676430.0,676421.0,676420.0,676391.0,676744.0,676749.0,676946.0,676973.0,676999.0,0.02,0.01579219,0.1293,0.0101,0.02,0.0193,0.01658438,0.5999,0.024,0.005,"20180628 09:20:18.184043","20180628 09:18:16.000000",1
10,676656.0,0.01566331,676430.0,676426.0,676421.0,676420.0,676396.0,676743.0,676744.0,676749.0,676946.0,676973.0,0.00579219,0.01,0.1293,0.0101,0.01,0.030142,0.0193,0.01658438,0.5999,0.024,"20180628 09:20:18.618865","20180628 09:20:07.000000",1
1,0.0,0.0,676463.0,676444.0,676430.0,676426.0,676420.0,676743.0,676744.0,676749.0,676828.0,676863.0,0.02,0.1532,0.00579219,0.01,0.0101,0.030142,0.0193,0.01658438,0.02,0.02,"20180628 09:20:18.899228","20000101 00:00:00.000000",1
304,676759.0,0.03380782,676463.0,676430.0,676426.0,676420.0,676385.0,676743.0,676744.0,676748.0,676749.0,676828.0,0.02,0.00579219,0.01,0.0101,0.045,0.030142,0.0193,0.5988,0.01658438,0.02,"20180628 09:20:19.178496","20180628 09:18:16.000000",1
37,676656.0,0.01566331,676463.0,676430.0,676426.0,676420.0,676385.0,676743.0,676744.0,676748.0,676749.0,676828.0,0.02,0.00579219,0.01,0.0101,0.045,0.030142,0.0193,0.5988,0.01658438,0.02,"20180628 09:20:19.228464","20180628 09:20:07.000000",1
273,676759.0,0.03380782,676469.0,676431.0,676420.0,676412.0,676385.0,676743.0,676744.0,676749.0,676862.0,676973.0,0.02,0.1482,0.0101,0.02,0.045,0.030142,0.0193,0.005,0.6038,0.024,"20180628 09:20:20.380865","20180628 09:18:16.000000",1
11,676656.0,0.01566331,676470.0,676447.0,676421.0,676420.0,676385.0,676743.0,676744.0,676749.0,676804.0,676972.0,0.00579219,0.02,0.1482,0.0101,0.045,0.04172638,0.0193,0.005,0.02,0.6038,"20180628 09:20:20.828102","20180628 09:20:07.000000",1
2,0.0,0.0,676470.0,676447.0,676436.0,676421.0,676420.0,676743.0,676744.0,676749.0,676804.0,676830.0,0.00579219,0.02,0.01,0.1482,0.0101,0.65052638,0.0193,0.005,0.02,0.02,"20180628 09:20:21.146000","20000101 00:00:00.000000",1
305,676759.0,0.03380782,676470.0,676447.0,676436.0,676420.0,676390.0,676743.0,676744.0,676749.0,676804.0,676830.0,0.14899219,0.02,0.01,0.0101,0.01,0.65052638,0.0193,0.005,0.02,0.02,"20180628 09:20:21.377159","20180628 09:18:16.000000",1
38,676656.0,0.01566331,676470.0,676447.0,676436.0,676420.0,676390.0,676743.0,676744.0,676749.0,676804.0,676830.0,0.14899219,0.02,0.01,0.0101,0.01,0.65052638,0.0193,0.005,0.02,0.02,"20180628 09:20:21.425016","20180628 09:20:07.000000",1
274,676759.0,0.03380782,676470.0,676454.0,676420.0,676407.0,676385.0,676743.0,676744.0,676748.0,676749.0,676973.0,0.00579219,0.1393,0.0101,0.01,0.045,0.04172638,0.0193,0.6149,0.005,0.024,"20180628 09:20:22.608808","20180628 09:18:16.000000",1
