"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
1,0.0,0.0,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,0.8876,1.3364,2.0581,0.1635,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:18.346986","20000101 00:00:00.000000",1
2,0.0,0.0,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,0.8876,1.3364,0.8581,0.1635,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:28.372343","20000101 00:00:00.000000",1
15,0.0,0.0,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,0.8876,1.3364,0.8581,0.1635,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:28.904014","20000101 00:00:00.000000",1
106,6919000.0,1.5222,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,0.8876,1.3364,0.8581,0.1635,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:29.186026","20180628 09:11:52.000000",1
7,0.0,0.0,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,0.8876,1.3364,0.8581,0.1635,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:29.275406","20000101 00:00:00.000000",1
116,6919000.0,1.5222,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,0.8876,1.3364,0.8581,0.1635,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:29.562144","20180628 09:11:52.000000",1
117,6919000.0,1.5222,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,1.1616,1.3364,0.8581,0.1635,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:42.300181","20180628 09:11:52.000000",1
16,0.0,0.0,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,1.1616,1.3364,0.8581,0.1635,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:42.404213","20000101 00:00:00.000000",1
8,0.0,0.0,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,1.1616,1.3364,0.8581,0.8795,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:42.613339","20000101 00:00:00.000000",1
3,0.0,0.0,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,1.1616,1.3364,0.8581,0.1635,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:42.853904","20000101 00:00:00.000000",1
107,6919000.0,1.5222,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,1.1616,1.3364,0.8581,0.8795,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:43.240051","20180628 09:11:52.000000",1
118,6919000.0,1.5222,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,1.1616,1.3364,0.8581,0.8795,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:43.957240","20180628 09:11:52.000000",1
17,0.0,0.0,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,1.1616,1.3364,0.8581,0.8795,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:44.507838","20000101 00:00:00.000000",1
4,0.0,0.0,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,1.1616,1.3364,0.8581,0.8795,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:44.821270","20000101 00:00:00.000000",1
119,6919000.0,1.5222,6910000.0,6909000.0,6904000.0,6903000.0,6902000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,1.1616,1.3364,0.8581,0.325,0.8795,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:45.642634","20180628 09:11:52.000000",1
18,0.0,0.0,6910000.0,6909000.0,6904000.0,6903000.0,6902000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,1.1616,1.3364,0.8581,0.325,0.1635,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:46.213878","20000101 00:00:00.000000",1
108,6919000.0,1.5222,6910000.0,6909000.0,6904000.0,6903000.0,6902000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,1.1616,1.3364,0.8581,0.325,0.1635,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:46.607185","20180628 09:11:52.000000",1
5,0.0,0.0,6910000.0,6909000.0,6904000.0,6903000.0,6902000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,1.1616,1.3364,0.8581,0.325,0.1635,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:46.938262","20000101 00:00:00.000000",1
9,0.0,0.0,6910000.0,6909000.0,6904000.0,6903000.0,6902000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,1.1616,1.3364,0.8581,0.325,0.1635,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:47.036359","20000101 00:00:00.000000",1
120,6919000.0,1.5222,6910000.0,6909000.0,6904000.0,6903000.0,6902000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,1.1616,1.3364,0.8581,0.325,0.1635,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:48.111471","20180628 09:11:52.000000",1
121,6919000.0,1.5222,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,1.1616,1.3364,2.0581,0.1635,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:51.467255","20180628 09:11:52.000000",1
109,6919000.0,1.5222,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,0.8876,1.3364,2.0581,0.1635,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:52.146562","20180628 09:11:52.000000",1
10,0.0,0.0,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,0.8876,1.3364,2.0581,0.1635,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:52.263860","20000101 00:00:00.000000",1
19,0.0,0.0,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,0.8876,1.3364,2.0581,0.1635,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:52.474902","20000101 00:00:00.000000",1
6,0.0,0.0,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,0.8876,1.3364,2.0581,0.1635,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:52.850357","20000101 00:00:00.000000",1
122,6919000.0,1.5222,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,0.8876,1.3364,0.8581,0.1635,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:53.157264","20180628 09:11:52.000000",1
110,6919000.0,1.5222,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,0.8876,1.3364,0.8581,0.1635,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:53.812075","20180628 09:11:52.000000",1
11,0.0,0.0,6910000.0,6909000.0,6904000.0,6902000.0,6901000.0,6920000.0,6921000.0,6922000.0,6923000.0,6924000.0,0.8876,1.3364,0.8581,0.1635,2.4423,1.2808,0.325,2.608,0.08,0.75,"20180628 09:20:53.928270","20000101 00:00:00.000000",1
