"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
848,6109.33,0.0109,6109.33,6109.32,6108.73,6108.4,6107.73,6109.34,6110.0,6110.56,6111.0,6111.29,31.69110761,0.03,0.001,0.016,0.001,5.05650658,0.1,1.0,0.004,1.63713,"20180628 09:20:18.289961","20180628 09:20:17.542239",1
109,6109.33,0.0109,6109.33,6109.32,6108.73,6108.4,6107.73,6109.34,6110.0,6110.56,6111.0,6111.29,33.72710761,0.03,0.001,0.016,0.001,5.05650658,0.1,1.0,0.004,1.63713,"20180628 09:20:18.359200","20180628 09:20:17.436169",1
431,6109.34,0.16319421,6109.33,6109.32,6108.24,6107.56,6106.38,6109.34,6110.0,6110.56,6111.0,6111.29,33.72910761,0.03,0.016,0.002,2.1,4.90251058,0.1,1.0,0.004,1.63713,"20180628 09:20:17.583623","20180628 09:20:18.636880",2
849,6109.34,0.16319421,6109.33,6109.32,6108.73,6108.4,6107.73,6109.34,6110.0,6110.56,6111.0,6111.29,31.69110761,0.03,0.001,0.016,0.001,5.05650658,0.1,1.0,0.004,1.63713,"20180628 09:20:18.289961","20180628 09:20:18.663547",2
414,6109.34,0.16319421,6109.33,6109.32,6108.24,6107.56,6106.38,6109.34,6110.0,6110.56,6111.0,6111.29,33.72910761,0.03,0.016,0.002,2.1,4.90251058,0.1,1.0,0.004,1.63713,"20180628 09:20:17.548319","20180628 09:20:18.666010",2
12,6109.34,0.16319421,6109.33,6109.32,6108.14,6107.73,6107.56,6109.34,6110.0,6110.56,6111.0,6111.29,38.05100761,0.03,0.016,0.001,0.002,4.90251058,0.1,1.0,0.004,1.63713,"20180628 09:20:16.542091","20180628 09:20:18.738582",2
110,6109.34,0.16319421,6109.33,6109.32,6108.73,6108.4,6107.73,6109.34,6110.0,6110.56,6111.0,6111.29,33.72710761,0.03,0.001,0.016,0.001,5.05650658,0.1,1.0,0.004,1.63713,"20180628 09:20:18.359200","20180628 09:20:18.923154",2
415,6109.34,0.16319421,6109.33,6109.32,6108.63,6107.56,6106.38,6109.34,6110.0,6110.56,6111.0,6111.29,36.22764761,0.03,0.016,0.002,2.1,4.89314237,0.1,1.0,0.004,1.63713,"20180628 09:20:19.443000","20180628 09:20:18.666010",1
1,0.0,0.0,6109.33,6109.32,6108.73,6108.63,6107.56,6109.34,6110.0,6110.56,6111.0,6111.29,33.72764761,0.03,0.001,0.016,0.002,4.89314237,0.1,1.0,0.004,1.63713,"20180628 09:20:19.631218","20000101 00:00:00.000000",1
13,6109.34,0.16319421,6109.33,6109.32,6108.73,6108.63,6107.56,6109.34,6110.0,6110.56,6111.0,6111.29,33.72764761,0.03,0.001,0.016,0.002,4.89314237,0.1,1.0,0.004,1.63713,"20180628 09:20:19.981608","20180628 09:20:18.738582",1
