"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
41,5284.8,0.0118,5284.0,5283.8,5283.7,5283.6,5283.4,5284.1,5284.8,5285.0,5286.7,5287.6,0.005,0.006,0.006,0.006,0.006,1.0,1.599,0.45,1.961,1.0,"20000101 00:00:00.000000","20180628 09:20:14.754000",1
1,0.0,0.0,5284.0,5283.8,5283.7,5283.6,5283.4,5284.1,5284.8,5285.0,5286.7,5287.6,0.005,0.006,0.006,0.006,0.006,1.0,1.599,0.45,1.961,1.0,"20000101 00:00:00.000000","20000101 00:00:00.000000",1
4,0.0,0.0,5284.0,5283.8,5283.7,5283.6,5283.4,5284.1,5284.8,5285.0,5286.7,5287.4,0.005,0.006,0.006,0.006,0.006,1.0,1.599,0.45,1.961,0.3,"20000101 00:00:00.000000","20000101 00:00:00.000000",1
938,5284.8,0.0118,5284.0,5283.8,5283.7,5283.6,5283.4,5284.1,5284.8,5285.0,5286.7,5287.4,0.005,0.006,0.006,0.006,0.006,1.0,1.599,0.45,1.961,0.3,"20000101 00:00:00.000000","20180628 09:20:14.754000",1
14,0.0,0.0,5284.0,5283.8,5283.7,5283.6,5283.4,5284.1,5284.8,5285.0,5286.7,5287.4,0.005,0.006,0.006,0.006,0.006,1.0,1.599,0.45,1.961,0.3,"20000101 00:00:00.000000","20000101 00:00:00.000000",1
479,5284.8,0.0118,5284.0,5283.8,5283.7,5283.6,5283.4,5284.1,5284.8,5285.0,5286.7,5287.4,0.005,0.006,0.006,0.006,0.006,1.0,1.599,0.45,1.961,0.3,"20000101 00:00:00.000000","20180628 09:20:14.754000",1
1488,5284.8,0.0118,5284.0,5283.8,5283.7,5283.6,5283.4,5284.1,5284.8,5285.0,5286.7,5287.4,0.005,0.006,0.006,0.006,0.006,1.0,1.599,0.45,1.961,0.3,"20000101 00:00:00.000000","20180628 09:20:14.754000",1
45,5284.8,0.0118,5284.0,5283.8,5283.7,5283.6,5283.4,5284.1,5284.8,5285.0,5286.7,5287.4,0.005,0.006,0.006,0.006,0.006,1.0,1.599,0.45,1.961,0.3,"20000101 00:00:00.000000","20180628 09:20:14.754000",1
940,5284.8,0.0118,5284.0,5283.8,5283.7,5283.6,5283.4,5284.1,5285.0,5286.7,5287.4,5287.6,0.005,0.006,0.006,0.006,0.006,1.0,0.45,1.961,0.3,1.0,"20000101 00:00:00.000000","20180628 09:20:14.754000",1
1489,5284.8,0.0118,5284.0,5283.8,5283.7,5283.6,5283.4,5284.1,5285.0,5286.7,5287.4,5287.6,0.005,0.006,0.006,0.006,0.006,1.0,0.45,1.961,0.3,1.0,"20000101 00:00:00.000000","20180628 09:20:14.754000",1
6,0.0,0.0,5284.0,5283.8,5283.7,5283.6,5283.4,5284.1,5285.0,5286.7,5287.4,5287.6,0.005,0.006,0.006,0.006,0.006,1.0,0.45,1.961,0.3,1.0,"20000101 00:00:00.000000","20000101 00:00:00.000000",1
46,5284.8,0.0118,5284.0,5283.8,5283.7,5283.6,5283.4,5284.1,5285.0,5286.7,5287.4,5287.6,0.005,0.006,0.006,0.006,0.006,1.0,0.45,1.961,0.3,1.0,"20000101 00:00:00.000000","20180628 09:20:14.754000",1
481,5284.8,0.0118,5284.0,5283.8,5283.7,5283.6,5283.4,5284.1,5285.0,5286.7,5287.4,5287.6,0.005,0.006,0.006,0.006,0.006,1.0,0.45,1.961,0.3,1.0,"20000101 00:00:00.000000","20180628 09:20:14.754000",1
16,0.0,0.0,5284.0,5283.8,5283.7,5283.6,5283.4,5284.1,5285.0,5286.7,5287.4,5287.6,0.005,0.006,0.006,0.006,0.006,1.0,0.45,1.961,0.3,1.0,"20000101 00:00:00.000000","20000101 00:00:00.000000",1
47,5284.8,0.0118,5282.5,5282.2,5282.1,5281.9,5281.8,5284.1,5285.0,5286.7,5287.4,5287.6,1.128,0.012,0.006,0.012,2.356,1.0,0.45,1.961,0.6,1.0,"20000101 00:00:00.000000","20180628 09:20:14.754000",1
1490,5284.8,0.0118,5282.5,5282.2,5282.1,5281.9,5281.8,5284.1,5285.0,5286.7,5287.4,5287.6,1.128,0.012,0.006,0.012,2.356,1.0,0.45,1.961,0.6,1.0,"20000101 00:00:00.000000","20180628 09:20:14.754000",1
18,0.0,0.0,5282.5,5282.2,5282.1,5281.9,5281.8,5284.1,5285.0,5286.7,5287.4,5287.6,1.128,0.012,0.006,0.012,2.356,1.0,0.45,1.961,0.6,1.0,"20000101 00:00:00.000000","20000101 00:00:00.000000",1
48,5284.0,0.005,5282.5,5282.2,5282.1,5281.9,5281.8,5284.1,5285.0,5286.7,5287.4,5287.6,1.128,0.012,0.006,0.012,2.356,1.0,0.45,1.961,0.6,1.0,"20000101 00:00:00.000000","20180628 09:20:54.402400",2
49,5283.8,0.006,5282.5,5282.2,5282.1,5281.9,5281.8,5284.1,5285.0,5286.7,5287.4,5287.6,1.128,0.012,0.006,0.012,2.356,1.0,0.45,1.961,0.6,1.0,"20000101 00:00:00.000000","20180628 09:20:54.409900",2
50,5283.7,0.006,5282.5,5282.2,5282.1,5281.9,5281.8,5284.1,5285.0,5286.7,5287.4,5287.6,1.128,0.012,0.006,0.012,2.356,1.0,0.45,1.961,0.6,1.0,"20000101 00:00:00.000000","20180628 09:20:54.412700",2
51,5283.6,0.006,5282.5,5282.2,5282.1,5281.9,5281.8,5284.1,5285.0,5286.7,5287.4,5287.6,1.128,0.012,0.006,0.012,2.356,1.0,0.45,1.961,0.6,1.0,"20000101 00:00:00.000000","20180628 09:20:54.415700",2
52,5283.4,0.006,5282.5,5282.2,5282.1,5281.9,5281.8,5284.1,5285.0,5286.7,5287.4,5287.6,1.128,0.012,0.006,0.012,2.356,1.0,0.45,1.961,0.6,1.0,"20000101 00:00:00.000000","20180628 09:20:54.418600",2
53,5283.3,0.006,5282.5,5282.2,5282.1,5281.9,5281.8,5284.1,5285.0,5286.7,5287.4,5287.6,1.128,0.012,0.006,0.012,2.356,1.0,0.45,1.961,0.6,1.0,"20000101 00:00:00.000000","20180628 09:20:54.421300",2
54,5283.2,0.006,5282.5,5282.2,5282.1,5281.9,5281.8,5284.1,5285.0,5286.7,5287.4,5287.6,1.128,0.012,0.006,0.012,2.356,1.0,0.45,1.961,0.6,1.0,"20000101 00:00:00.000000","20180628 09:20:54.424000",2
55,5283.0,0.01076633,5282.5,5282.2,5282.1,5281.9,5281.8,5284.1,5285.0,5286.7,5287.4,5287.6,1.128,0.012,0.006,0.012,2.356,1.0,0.45,1.961,0.6,1.0,"20000101 00:00:00.000000","20180628 09:20:54.427600",2
56,5283.0,0.006,5282.5,5282.2,5282.1,5281.9,5281.8,5284.1,5285.0,5286.7,5287.4,5287.6,1.128,0.012,0.006,0.012,2.356,1.0,0.45,1.961,0.6,1.0,"20000101 00:00:00.000000","20180628 09:20:54.430300",2
