"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
1485,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.7,6111.1,6112.0,6112.1,6112.9,6113.1,0.569,1.0,0.06,0.1,0.417,1.0,1.961,1.0,7.404,1.1,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
42,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.7,6111.1,6112.0,6112.1,6112.9,6113.1,0.569,1.0,0.06,0.1,0.417,1.0,1.961,1.0,7.404,1.1,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
2,0.0,0.0,6111.0,6110.8,6110.6,6109.2,6108.7,6111.1,6112.0,6112.1,6112.9,6113.1,0.569,1.0,0.06,0.1,0.417,1.0,1.961,1.0,7.404,1.1,"20000101 00:00:00.000000","20000101 00:00:00.000000",1
936,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.7,6111.1,6112.0,6112.1,6112.9,6113.1,0.569,1.0,0.06,0.1,0.417,1.0,1.961,1.0,7.404,1.1,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
477,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.7,6111.1,6112.0,6112.1,6112.9,6113.1,0.569,1.0,0.06,0.1,0.417,1.0,1.961,1.0,7.404,1.1,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
13,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.6,6111.1,6112.0,6112.1,6112.9,6113.1,0.569,1.0,0.06,0.1,0.01,1.0,1.961,1.0,4.131,1.1,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
937,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.6,6111.1,6112.0,6112.1,6112.9,6113.1,0.569,1.0,0.06,0.1,0.01,1.0,1.961,1.0,4.131,1.1,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
3,0.0,0.0,6111.0,6110.8,6110.6,6109.2,6108.6,6111.1,6112.0,6112.1,6112.9,6113.1,0.569,1.0,0.06,0.1,0.01,1.0,1.961,1.0,4.131,1.1,"20000101 00:00:00.000000","20000101 00:00:00.000000",1
478,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.6,6111.1,6112.0,6112.1,6112.9,6113.1,0.569,1.0,0.06,0.1,0.01,1.0,1.961,1.0,4.131,1.1,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
1486,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.6,6111.1,6112.0,6112.1,6112.9,6113.1,0.569,1.0,0.06,0.1,0.01,1.0,1.961,1.0,4.131,1.1,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
43,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.6,6111.1,6112.0,6112.1,6112.9,6113.1,0.569,1.0,0.06,0.1,0.01,1.0,1.961,1.0,4.131,1.1,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
939,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.6,6111.1,6111.9,6112.0,6112.1,6112.8,0.569,1.0,0.06,0.1,0.01,2.0,0.154,1.961,1.0,3.273,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
5,0.0,0.0,6111.0,6110.8,6110.6,6109.2,6108.6,6111.1,6111.9,6112.0,6112.1,6112.8,0.569,1.0,0.06,0.1,0.01,2.0,0.154,1.961,1.0,3.273,"20000101 00:00:00.000000","20000101 00:00:00.000000",1
480,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.6,6111.1,6111.9,6112.0,6112.1,6112.8,0.569,1.0,0.06,0.1,0.01,2.0,0.154,1.961,1.0,3.273,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
15,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.6,6111.1,6111.9,6112.0,6112.1,6112.8,0.569,1.0,0.06,0.1,0.01,2.0,0.154,1.961,1.0,3.273,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
1487,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.6,6111.1,6111.9,6112.0,6112.1,6112.8,0.569,1.0,0.06,0.1,0.01,2.0,0.154,1.961,1.0,3.273,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
44,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.6,6111.1,6111.9,6112.0,6112.1,6112.8,0.569,1.0,0.06,0.1,0.01,2.0,0.154,1.961,1.0,3.273,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
