"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
10,0.0,0.0,0.0710001,0.07096778,0.07094943,0.07086496,0.07086495,0.07105115,0.07107,0.07107538,0.07108705,0.07108999,49.68939596,0.01,1.0,11.12216332,2.83217298,0.23751519,23.0417,6.0,7.24745797,43.39923116,"20180628 09:20:18.358670","20000101 00:00:00.000000",1
38,0.07114738,0.16216372,0.0710001,0.07096778,0.07094943,0.07086496,0.07086495,0.07105115,0.07107,0.07107538,0.07108999,0.07109973,49.68939596,0.01,1.0,11.12216332,2.83217298,0.23751519,23.0417,6.0,43.39923116,86.608,"20180628 09:20:18.728468","20180628 09:19:52.000000",1
216,0.07114738,0.16216372,0.0710001,0.07096778,0.07094943,0.07086496,0.07086495,0.07105089,0.07105115,0.07106999,0.07107,0.07107538,49.68939596,0.01,1.0,11.12216332,2.83217298,7.74868434,0.23751519,92.451,23.0417,6.0,"20180628 09:20:18.902394","20180628 09:19:52.000000",1
1,0.0,0.0,0.0710001,0.07096778,0.07094943,0.07086496,0.07086495,0.07105089,0.07105115,0.07106999,0.07107,0.07107538,49.68939596,0.01,1.0,11.12216332,2.83217298,7.74868434,0.23751519,92.451,23.0417,6.0,"20180628 09:20:19.160061","20000101 00:00:00.000000",1
221,0.07114738,0.16216372,0.0710001,0.07096778,0.07094943,0.07086496,0.07086495,0.07105089,0.07105115,0.07106999,0.07107,0.07107538,49.68939596,0.01,1.0,0.01016332,2.83217298,7.74868434,0.23751519,92.451,23.0417,6.0,"20180628 09:20:19.438537","20180628 09:19:52.000000",1
11,0.0,0.0,0.0710001,0.07096778,0.07094943,0.07086496,0.07086495,0.07105089,0.07105115,0.071065,0.07106998,0.07106999,49.68939596,0.01,1.0,3.40016332,2.83217298,7.74868434,0.23751519,23.0067,43.39923096,92.451,"20180628 09:20:20.574561","20000101 00:00:00.000000",1
217,0.07114738,0.16216372,0.0710001,0.07096778,0.07094943,0.07086496,0.07086495,0.07105089,0.07105115,0.071065,0.07106998,0.07106999,49.68939596,0.01,1.0,3.40016332,2.83217298,7.74868434,0.23751519,23.0067,43.39923096,92.451,"20180628 09:20:20.697918","20180628 09:19:52.000000",1
2,0.0,0.0,0.0710001,0.07096778,0.07094943,0.07086496,0.07086495,0.07105089,0.07105115,0.071065,0.07106998,0.07107538,49.68939596,0.01,1.0,3.40016332,2.83217298,7.74868434,0.23751519,23.0067,43.39923096,6.0,"20180628 09:20:20.980749","20000101 00:00:00.000000",1
222,0.07114738,0.16216372,0.0710001,0.07096778,0.07094943,0.07086496,0.07086495,0.07105089,0.07105115,0.071065,0.07106998,0.07107538,49.68939596,0.01,1.0,3.40016332,2.83217298,7.74868434,0.23751519,23.0067,43.39923096,6.0,"20180628 09:20:21.734021","20180628 09:19:52.000000",1
12,0.0,0.0,0.0710001,0.07096778,0.07094943,0.07086496,0.07086495,0.07105089,0.07105115,0.071065,0.07106998,0.07107538,49.68939596,0.01,1.0,3.40016332,2.83217298,7.74868434,0.23751519,23.0067,43.39923096,6.0,"20180628 09:20:22.366386","20000101 00:00:00.000000",1
218,0.07114738,0.16216372,0.0710001,0.07096778,0.07094943,0.07086496,0.07086495,0.07105089,0.07105115,0.071065,0.07106998,0.07107538,49.68939596,0.01,1.0,3.40016332,2.83217298,7.74868434,0.23751519,23.0067,43.39923096,6.0,"20180628 09:20:22.511130","20180628 09:19:52.000000",1
223,0.07114738,0.16216372,0.0710001,0.07096778,0.07094943,0.07086496,0.07086495,0.07105089,0.07105115,0.071065,0.07107538,0.07109606,49.68939596,0.01,1.0,3.40016332,2.83217298,7.74868434,0.23751519,23.0067,6.0,7.24745797,"20180628 09:20:23.513639","20180628 09:19:52.000000",1
219,0.07114738,0.16216372,0.0710001,0.07096778,0.07094943,0.07086496,0.07086495,0.071045,0.07105089,0.07105115,0.07107538,0.07109606,49.68939596,0.01,1.0,3.40016332,2.83217298,22.9156,7.74868434,0.23751519,6.0,7.24745797,"20180628 09:20:24.310800","20180628 09:19:52.000000",1
3,0.0,0.0,0.0710001,0.07096778,0.07094943,0.07086496,0.07086495,0.07105089,0.07105115,0.071065,0.07107538,0.07109606,49.68939596,0.01,1.0,3.40016332,2.83217298,7.74868434,0.23751519,23.0067,6.0,7.24745797,"20180628 09:20:24.567550","20000101 00:00:00.000000",1
13,0.0,0.0,0.0710001,0.07096778,0.07094943,0.07086496,0.07086495,0.071045,0.07105089,0.07105115,0.07107538,0.07109606,49.68939596,0.01,1.0,3.40016332,2.83217298,22.9156,7.74868434,0.23751519,6.0,7.24745797,"20180628 09:20:25.026782","20000101 00:00:00.000000",1
224,0.07114738,0.16216372,0.0710001,0.07096778,0.07094943,0.07086496,0.07086495,0.071045,0.07105089,0.07105115,0.07107538,0.07109606,49.68939596,0.01,1.0,3.40016332,2.83217298,22.9156,7.74868434,0.23751519,6.0,7.24745797,"20180628 09:20:25.804244","20180628 09:19:52.000000",1
4,0.0,0.0,0.0710001,0.07096778,0.07094943,0.07086496,0.07086495,0.071045,0.07105089,0.07105115,0.07107538,0.07109606,49.68939596,0.01,1.0,3.40016332,2.83217298,22.9156,7.74868434,0.23751519,6.0,7.24745797,"20180628 09:20:26.366818","20000101 00:00:00.000000",1
39,0.07114738,0.16216372,0.0710001,0.07096778,0.07094943,0.07086496,0.07086495,0.07104474,0.071045,0.07105115,0.07107538,0.07109606,49.68939596,0.01,1.0,3.40016332,2.83217298,7.74868434,22.9156,0.23751519,6.0,7.24745797,"20180628 09:20:26.739381","20180628 09:19:52.000000",1
14,0.0,0.0,0.0710001,0.07096778,0.07094943,0.07086496,0.07086495,0.07104474,0.071045,0.07105115,0.07107538,0.07109606,49.68939596,0.01,1.0,3.40016332,2.83217298,7.74868434,22.9156,0.23751519,6.0,7.24745797,"20180628 09:20:26.852548","20000101 00:00:00.000000",1
